date,time,cpu,memory,read,write
2012/2/11,22:17:00,0,32,0,0
2012/2/11,22:27:00,0,34,0,0
2012/2/11,22:37:00,0,34,0,0
2012/2/11,22:47:00,0,34,0,0
2012/2/11,22:57:00,0,34,0,0
2012/2/11,23:07:00,0,34,0,0
2012/2/11,23:17:00,0,34,0,0
2012/2/11,23:27:00,0,34,0,0
2012/2/11,23:37:00,0,34,0,0
2012/2/11,23:47:00,0,34,0,0
2012/2/11,23:57:00,0,34,0,0
2012/2/12,0:07:00,0,34,0,0
2012/2/12,0:17:00,0,34,0,0
2012/2/12,0:27:00,0,34,0,0
2012/2/12,0:37:00,0,34,0,0
2012/2/12,0:47:00,0,34,0,0
2012/2/12,0:57:00,0,34,0,0
2012/2/12,1:07:00,0,47,43,100
2012/2/12,1:17:00,0,42,0,0
2012/2/12,1:28:00,4,45,0,0
2012/2/12,1:38:00,0,45,0,0
2012/2/12,1:48:00,0,45,0,0
2012/2/12,1:58:00,0,45,0,0
2012/2/12,2:08:00,0,44,0,0
2012/2/12,2:18:00,0,44,0,0
2012/2/12,2:28:00,0,44,0,0
2012/2/12,2:38:00,0,44,0,0
2012/2/12,2:48:00,0,44,0,0
2012/2/12,2:58:00,0,44,0,0
2012/2/12,3:08:00,0,43,0,0
2012/2/12,3:18:00,0,44,0,0
2012/2/12,3:28:00,0,43,0,0
2012/2/12,3:38:00,0,44,0,0
2012/2/12,3:48:00,0,44,0,0
2012/2/12,3:58:00,0,44,0,0
2012/2/12,4:08:00,0,39,0,0
2012/2/12,4:18:00,0,39,0,0
2012/2/12,4:28:00,0,39,0,0
2012/2/12,4:38:00,0,39,0,0
2012/2/12,4:48:00,2,39,0,0
2012/2/12,4:58:00,0,39,0,0
2012/2/12,5:08:00,0,39,0,0
2012/2/12,5:18:00,0,39,0,0
2012/2/12,5:28:00,0,39,0,0
2012/2/12,5:38:00,0,39,0,0
2012/2/12,5:48:00,0,39,0,0
2012/2/12,5:58:00,0,39,0,0
2012/2/12,6:08:00,0,39,0,0
2012/2/12,6:19:00,4,39,0,0
2012/2/12,6:29:00,2,39,0,0
2012/2/12,6:39:00,0,39,0,0
2012/2/12,6:49:00,0,39,0,0
2012/2/12,6:59:00,0,39,0,0
2012/2/12,7:09:00,0,36,0,0
2012/2/12,7:19:00,0,35,0,0
2012/2/12,7:29:00,0,35,0,0
2012/2/12,7:39:00,0,38,0,0
2012/2/12,7:49:00,0,37,0,0
2012/2/12,7:59:00,0,37,0,0
2012/2/12,8:09:00,0,37,0,0
2012/2/12,8:19:00,0,37,0,0
2012/2/12,8:29:00,0,37,0,0
2012/2/12,8:39:00,0,37,0,0
2012/2/12,8:49:00,0,37,0,0
2012/2/12,8:59:00,0,37,0,0
2012/2/12,9:09:00,0,37,0,0
2012/2/12,9:19:00,0,37,0,0
2012/2/12,9:29:00,0,37,0,0
2012/2/12,9:39:00,0,36,0,0
2012/2/12,9:49:00,0,35,0,0
2012/2/12,9:59:00,0,35,0,0
2012/2/12,10:09:00,0,37,0,0
2012/2/12,10:19:00,0,34,0,0
2012/2/12,10:29:00,0,34,0,0
2012/2/12,10:39:00,0,31,0,0
2012/2/12,10:49:00,0,31,0,0
2012/2/12,10:59:00,0,33,0,0
2012/2/12,11:10:00,4,31,0,0
2012/2/12,11:20:00,0,30,0,0
2012/2/12,11:30:00,0,30,0,0
2012/2/12,11:40:00,0,30,0,0
2012/2/12,11:50:00,0,29,0,0
2012/2/12,12:00:00,0,29,0,0
2012/2/12,12:10:00,0,31,0,0
2012/2/12,12:20:00,0,29,0,0
2012/2/12,12:30:00,0,29,0,0
2012/2/12,12:40:00,0,29,0,0
2012/2/12,12:50:00,0,29,0,0
2012/2/12,13:00:00,0,31,0,0
2012/2/12,13:10:00,0,26,0,0
2012/2/12,13:20:00,0,30,0,0
2012/2/12,13:30:00,0,31,0,0
2012/2/12,13:40:00,0,31,0,0
2012/2/12,13:50:00,0,31,0,0
2012/2/12,14:00:00,0,31,0,0
2012/2/12,14:10:00,0,31,0,0
2012/2/12,14:20:00,0,31,0,0
2012/2/12,14:30:00,0,31,0,0
2012/2/12,14:40:00,0,31,0,0
2012/2/12,14:50:00,0,31,0,0
2012/2/12,15:00:00,0,31,0,0
2012/2/12,15:10:00,0,28,0,0
2012/2/12,15:20:00,0,29,0,0
2012/2/12,15:30:00,0,28,0,0
2012/2/12,15:40:00,0,28,0,0
2012/2/12,15:50:00,0,28,0,0
2012/2/12,16:01:00,4,28,0,0
2012/2/12,16:11:00,0,28,0,0
2012/2/12,16:21:00,0,27,0,0
2012/2/12,16:31:00,0,27,0,0
2012/2/12,16:41:00,0,30,0,0
2012/2/12,16:51:00,0,30,0,0
2012/2/12,17:01:00,0,30,0,0
2012/2/12,17:11:00,0,30,0,0
2012/2/12,17:21:00,0,30,0,0
2012/2/12,17:31:00,0,30,0,0
2012/2/12,17:41:00,0,30,0,0
2012/2/12,17:51:00,0,30,0,0
2012/2/12,18:01:00,0,28,0,0
2012/2/12,18:11:00,0,28,0,0
2012/2/12,18:21:00,0,30,0,0
2012/2/12,18:31:00,0,30,0,0
2012/2/12,18:41:00,0,30,0,0
2012/2/12,18:51:00,2,30,0,0
2012/2/12,19:01:00,0,30,0,0
2012/2/12,19:11:00,0,30,0,0
2012/2/12,19:21:00,0,30,0,0
2012/2/12,19:31:00,0,30,0,0
2012/2/12,19:41:00,0,28,0,0
2012/2/12,19:51:00,5,28,0,0
2012/2/12,20:01:00,0,28,0,0
2012/2/12,20:11:00,0,30,0,0
2012/2/12,20:21:00,0,30,0,0
2012/2/12,20:31:00,0,30,0,0
2012/2/12,20:41:00,0,30,0,0
2012/2/12,20:52:00,4,28,0,0
2012/2/12,21:02:00,0,28,0,0
2012/2/12,21:12:00,0,28,0,0
2012/2/12,21:22:00,0,30,0,100
2012/2/12,21:32:00,0,30,0,0
2012/2/12,21:42:00,0,29,0,0
2012/2/12,21:52:00,0,29,0,0
2012/2/12,22:02:00,0,30,0,0
2012/2/12,22:12:00,0,30,0,0
2012/2/12,22:22:00,0,30,0,0
2012/2/12,22:32:00,0,30,0,0
2012/2/12,22:42:00,0,30,0,0
2012/2/12,22:52:00,0,30,0,0
2012/2/12,23:02:00,0,30,0,0
2012/2/12,23:12:00,0,30,0,0
2012/2/12,23:22:00,0,30,0,0
2012/2/12,23:32:00,0,28,0,0
2012/2/12,23:42:00,0,28,0,0
2012/2/12,23:52:00,0,30,0,0
2012/2/13,0:02:00,0,30,0,0
